Name;DataType;Length;Coding;Address
CMD_EXTRUSORI.EXTB.PARAMETRI_OUT_EX.IN_RUN;Bool;1;Binary;%DB2000.DBX13066.0
CMD_EXTRUSORI.EXTB.PARAMETRI_OUT_EX.ANOMALIA_ATTIVA;Bool;1;Binary;%DB2000.DBX13066.1
CMD_EXTRUSORI.EXTB.PARAMETRI_OUT_EX.AVVISO_ATTIVO;Bool;1;Binary;%DB2000.DBX13066.2
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.NOME;String;254;Binary;%DB2000.DBX13068.0
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.START;Bool;1;Binary;%DB2000.DBX13324.0
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.INVERSIONE;Bool;1;Binary;%DB2000.DBX13324.1
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.ACC_ALLARMI;Bool;1;Binary;%DB2000.DBX13324.2
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.RESET_ALLARMI;Bool;1;Binary;%DB2000.DBX13324.3
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.SET_VELOCITA;Real;4;IEEE754;%DB2000.DBD13326
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.SET_COPPIA;Real;4;IEEE754;%DB2000.DBD13330
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.PARAMETRI_MOT.MAX_VELOCITA;Real;4;IEEE754;%DB2000.DBD13334
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.PARAMETRI_MOT.MAX_CORRENTE;Real;4;IEEE754;%DB2000.DBD13338
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.PARAMETRI_MOT.MAX_COPPIA;Real;4;IEEE754;%DB2000.DBD13342
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.PARAMETRI_MOT.GIRI_MOTORE_MAX;Real;4;IEEE754;%DB2000.DBD13346
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.PARAMETRI_MOT.RAPPORTO_RIDUZIONE;Real;4;IEEE754;%DB2000.DBD13350
CMD_EXTRUSORI.EXTB.PARAMETRI_IN_POMPA.PARAMETRI_MOT.VELOCITA_INVERTER;Real;4;IEEE754;%DB2000.DBD13354
CMD_EXTRUSORI.EXTB.PARAMETRI_OUT_POMPA.REALE_VELOCITA;Real;4;IEEE754;%DB2000.DBD13358
CMD_EXTRUSORI.EXTB.PARAMETRI_OUT_POMPA.REALE_CORRENTE;Real;4;IEEE754;%DB2000.DBD13362
CMD_EXTRUSORI.EXTB.PARAMETRI_OUT_POMPA.REALE_CORRENTE_PERCENTUALE;Real;4;IEEE754;%DB2000.DBD13366
CMD_EXTRUSORI.EXTB.PARAMETRI_OUT_POMPA.REALE_COPPIA;Real;4;IEEE754;%DB2000.DBD13370
